date,working_capital,variable
1/1/1981,8.2,15.1
2/1/1981,8,14
3/1/1981,7.7,14.5
4/1/1981,7,14.9
5/1/1981,7.1,15.3
6/1/1981,7.7,14.6
7/1/1981,7.3,17.7
8/1/1981,7.2,17.8
9/1/1981,7.3,16.9
10/1/1981,7.5,14.9
11/1/1981,7.9,15.2
12/1/1981,8.3,16.1
1/1/1982,9.4,13.5
2/1/1982,9.6,13.4
3/1/1982,9.5,14.3
4/1/1982,9.2,14.9
5/1/1982,9.1,16.8
6/1/1982,9.8,17.4
7/1/1982,9.8,19.9
8/1/1982,9.6,20.4
9/1/1982,9.7,20
10/1/1982,9.9,18.6
11/1/1982,10.4,17.7
12/1/1982,10.5,19.1
1/1/1983,11.4,17.7
2/1/1983,11.3,17.1
3/1/1983,10.8,18.8
4/1/1983,10,19
5/1/1983,9.8,20.6
6/1/1983,10.2,20.7
7/1/1983,9.4,22.5
8/1/1983,9.2,22.6
9/1/1983,8.8,21.4
10/1/1983,8.4,19.4
11/1/1983,8.1,18.8
12/1/1983,8,18.9
1/1/1984,8.8,16.9
2/1/1984,8.4,16.4
3/1/1984,8.1,16.4
4/1/1984,7.6,16.3
5/1/1984,7.2,15.9
6/1/1984,7.4,15.8
7/1/1984,7.5,17.7
8/1/1984,7.3,16.8
9/1/1984,7.1,16
10/1/1984,7,14.7
11/1/1984,6.9,13.4
12/1/1984,7,14.3
1/1/1985,8,13.6
2/1/1985,7.8,12.5
3/1/1985,7.5,13.7
4/1/1985,7.1,13
5/1/1985,7,13.5
6/1/1985,7.5,14.3
7/1/1985,7.4,15.8
8/1/1985,6.9,16.4
9/1/1985,6.9,15.2
10/1/1985,6.8,13.3
11/1/1985,6.7,13.9
12/1/1985,6.7,14.7
1/1/1986,7.3,13.9
2/1/1986,7.8,12
3/1/1986,7.5,12.8
4/1/1986,7,14
5/1/1986,7,13.7
6/1/1986,7.3,13.6
7/1/1986,7,14.6
8/1/1986,6.7,15.5
9/1/1986,6.8,14.8
10/1/1986,6.6,14
11/1/1986,6.6,14.2
12/1/1986,6.3,14.6
1/1/1987,7.3,13
2/1/1987,7.2,11.7
3/1/1987,6.9,13.5
4/1/1987,6.2,12.3
5/1/1987,6.1,13
6/1/1987,6.3,13.3
7/1/1987,6.1,15
8/1/1987,5.8,15.6
9/1/1987,5.7,14.2
10/1/1987,5.7,12.9
11/1/1987,5.6,13.2
12/1/1987,5.4,13.4
1/1/1988,6.3,11.5
2/1/1988,6.2,10.8
3/1/1988,5.9,11.2
4/1/1988,5.3,11.2
5/1/1988,5.4,11.7
6/1/1988,5.5,11.5
7/1/1988,5.5,13.7
8/1/1988,5.4,13.2
9/1/1988,5.2,13
10/1/1988,5,10.9
11/1/1988,5.2,11.5
12/1/1988,5,11.6
1/1/1989,6,10.9
2/1/1989,5.6,9.8
3/1/1989,5.2,10.6
4/1/1989,5.1,11.1
5/1/1989,5,10.5
6/1/1989,5.5,10.8
7/1/1989,5.3,14.3
8/1/1989,5.1,12.8
9/1/1989,5.1,10.6
10/1/1989,5,10.3
11/1/1989,5.2,11
12/1/1989,5.1,12.1
1/1/1990,6,10.1
2/1/1990,5.9,9.8
3/1/1990,5.5,11.2
4/1/1990,5.3,11.1
5/1/1990,5.2,11.9
6/1/1990,5.4,11.6
7/1/1990,5.6,12.8
8/1/1990,5.5,12.4
9/1/1990,5.6,11.4
10/1/1990,5.5,11.2
11/1/1990,5.9,11.2
12/1/1990,6,11.8
1/1/1991,7.1,10.6
2/1/1991,7.3,10
3/1/1991,7.2,11.4
4/1/1991,6.5,11.6
5/1/1991,6.7,12.3
6/1/1991,7,12.3
7/1/1991,6.8,15.1
8/1/1991,6.6,15.7
9/1/1991,6.5,15.3
10/1/1991,6.5,13.6
11/1/1991,6.7,14.4
12/1/1991,6.9,15.3
1/1/1992,8.1,13.9
2/1/1992,8.2,12.2
3/1/1992,7.8,14
4/1/1992,7.2,13.6
5/1/1992,7.3,14
6/1/1992,8,14.6
7/1/1992,7.7,17.3
8/1/1992,7.4,17.8
9/1/1992,7.3,16.9
10/1/1992,6.9,14.4
11/1/1992,7.1,15.9
12/1/1992,7.1,16.9
1/1/1993,8,14.6
2/1/1993,7.8,12.9
3/1/1993,7.4,14.5
4/1/1993,6.9,13.3
5/1/1993,6.8,14.8
6/1/1993,7.2,14.1
7/1/1993,7,16.8
8/1/1993,6.6,16.7
9/1/1993,6.4,15.5
10/1/1993,6.4,14.8
11/1/1993,6.2,15.3
12/1/1993,6.1,15.6
1/1/1994,7.3,13.6
2/1/1994,7.1,12.4
3/1/1994,6.8,12.8
4/1/1994,6.2,12.8
5/1/1994,5.9,13.1
6/1/1994,6.2,12.3
7/1/1994,6.2,16.6
8/1/1994,5.9,15.2
9/1/1994,5.6,14.9
10/1/1994,5.4,13.9
11/1/1994,5.3,13.8
12/1/1994,5.1,13.7
1/1/1995,6.2,13.1
2/1/1995,5.9,11.6
3/1/1995,5.7,11.8
4/1/1995,5.6,11.4
5/1/1995,5.5,11.3
6/1/1995,5.8,11.4
7/1/1995,5.9,13.7
8/1/1995,5.6,13.3
9/1/1995,5.4,12.5
10/1/1995,5.2,11.9
11/1/1995,5.3,12.6
12/1/1995,5.2,13
1/1/1996,6.3,12.2
2/1/1996,6,12
3/1/1996,5.8,12
4/1/1996,5.4,11.9
5/1/1996,5.4,12.2
6/1/1996,5.5,12.2
7/1/1996,5.6,14.6
8/1/1996,5.1,14.5
9/1/1996,5,14.1
10/1/1996,4.9,12.7
11/1/1996,5,13.2
12/1/1996,5,13.1
1/1/1997,5.9,13
2/1/1997,5.7,10.5
3/1/1997,5.5,11.1
4/1/1997,4.8,11.3
5/1/1997,4.7,12
6/1/1997,5.2,11.5
7/1/1997,5,14.7
8/1/1997,4.8,13.2
9/1/1997,4.7,13.2
10/1/1997,4.4,11.7
11/1/1997,4.3,10.7
12/1/1997,4.4,12.7
1/1/1998,5.2,11.4
2/1/1998,5,10.6
3/1/1998,5,11.1
4/1/1998,4.1,11.1
5/1/1998,4.2,11.1
6/1/1998,4.7,10.2
7/1/1998,4.7,12.9
8/1/1998,4.5,12.8
9/1/1998,4.4,12.2
10/1/1998,4.2,9.5
11/1/1998,4.1,11
12/1/1998,4,11.7
1/1/1999,4.8,11.2
2/1/1999,4.7,10.1
3/1/1999,4.4,11.3
4/1/1999,4.1,10.2
5/1/1999,4,9.8
6/1/1999,4.5,10.1
7/1/1999,4.5,12.2
8/1/1999,4.2,11.3
9/1/1999,4.1,10.8
10/1/1999,3.8,10
11/1/1999,3.8,10
12/1/1999,3.7,11.3
1/1/2000,4.5,10.3
2/1/2000,4.4,8.8
3/1/2000,4.3,9.4
4/1/2000,3.7,9.7
5/1/2000,3.8,9.7
6/1/2000,4.1,10.1
7/1/2000,4.2,11.2
8/1/2000,4.1,11.3
9/1/2000,3.8,10
10/1/2000,3.6,9.1
11/1/2000,3.7,9.7
12/1/2000,3.7,10.4
1/1/2001,4.7,9.7
2/1/2001,4.6,9
3/1/2001,4.5,8.9
4/1/2001,4.2,8.7
5/1/2001,4.1,9.1
6/1/2001,4.7,9.5
7/1/2001,4.7,11.7
8/1/2001,4.9,12
9/1/2001,4.7,11.4
10/1/2001,5,10.2
11/1/2001,5.3,10.7
12/1/2001,5.4,12.4
1/1/2002,6.3,10.6
2/1/2002,6.1,11.1
3/1/2002,6.1,10.5
4/1/2002,5.7,11.6
5/1/2002,5.5,12.4
6/1/2002,6,12.5
7/1/2002,5.9,14.3
8/1/2002,5.7,14.2
9/1/2002,5.4,14.5
10/1/2002,5.3,12.4
11/1/2002,5.6,12.2
12/1/2002,5.7,13.6
1/1/2003,6.5,12.5
2/1/2003,6.4,12.3
3/1/2003,6.2,12.2
4/1/2003,5.8,11.4
5/1/2003,5.8,12.3
6/1/2003,6.5,12.2
7/1/2003,6.3,14.1
8/1/2003,6,14
9/1/2003,5.8,13.3
10/1/2003,5.6,13.1
11/1/2003,5.6,13.8
12/1/2003,5.4,15.2
1/1/2004,6.3,14.2
2/1/2004,6,11.9
3/1/2004,6,13.4
4/1/2004,5.4,12.2
5/1/2004,5.3,12.9
6/1/2004,5.8,12
7/1/2004,5.7,14
8/1/2004,5.4,13.3
9/1/2004,5.1,13.5
10/1/2004,5.1,12.3
11/1/2004,5.2,12.9
12/1/2004,5.1,13.7
1/1/2005,5.7,12
2/1/2005,5.8,11.6
3/1/2005,5.4,12.5
